Dry bulb temperature, Total radiation on surface, Beam radiation on surface, Angle of incidence on surface, Sun zenith angle, Sun azimuth angle, Relative humidity, Wind speed, Effective sky temperature, Ground reflectance, Flap State Code
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
21	0	0	90	89	180	70	0	21	0.2	2
-5	0	0	90	89	180	80	0	-5	0.2	0
-3.7	0	0	90	89	180	80	0	-5	0.2	0
-2.4	0	0	90	89	180	80	0	-5	0.2	0
-1.1	0	0	90	89	180	80	0	-5	0.2	0
0.2	0	0	90	89	180	80	0	0	0.2	0
1.5	0	0	90	89	180	80	0	0	0.2	0
2.8	0	0	90	89	180	80	0	0	0.2	0
4.1	0	0	90	89	180	80	0	0	0.2	0
5.4	0	0	90	89	180	80	0	5	0.2	0
6.7	0	0	90	89	180	80	0	5	0.2	0
8	0	0	90	89	180	80	0	5	0.2	0
9.3	0	0	90	89	180	80	0	5	0.2	0
10.6	0	0	90	89	180	80	0	10	0.2	0
11.9	0	0	90	89	180	80	0	10	0.2	0
13.2	0	0	90	89	180	80	0	10	0.2	0
14.5	0	0	90	89	180	80	0	10	0.2	0
15.8	1000	1000	90	89	180	60	0	15	0.2	1
17.1	1000	1000	90	89	180	60	0	15	0.2	1
18.4	1000	1000	90	89	180	60	0	15	0.2	1
19.7	1000	1000	90	89	180	60	0	15	0.2	1
21	1000	1000	90	89	180	60	0	20	0.2	1
22.3	1000	1000	90	89	180	60	0	20	0.2	1
23.6	1000	1000	90	89	180	60	0	20	0.2	1
24.9	1000	1000	90	89	180	60	0	20	0.2	1
26.2	1000	1000	90	89	180	60	0	25	0.2	1
27.5	1000	1000	90	89	180	60	0	30	0.2	1
28.8	1000	1000	90	89	180	60	0	30	0.2	1
30.1	1000	1000	90	89	180	60	0	30	0.2	1
31.4	1000	1000	90	89	180	60	0	30	0.2	1
32.7	1000	1000	90	89	180	60	0	30	0.2	-1
34	1000	1000	90	89	180	60	0	30	0.2	-1
34	1000	1000	90	89	180	60	0	30	0.2	-1
32.7	1000	1000	90	89	180	60	0	30	0.2	-1
31.4	1000	1000	90	89	180	60	0	25	0.2	-1
30.1	1000	1000	90	89	180	60	0	25	0.2	-1
28.8	1000	1000	90	89	180	60	0	25	0.2	-1
27.5	1000	1000	90	89	180	60	0	25	0.2	-1
26.2	1000	1000	90	89	180	60	0	20	0.2	-1
24.9	1000	1000	90	89	180	60	0	20	0.2	-1
23.6	1000	1000	90	89	180	60	0	20	0.2	-1
22.3	1000	1000	90	89	180	60	0	20	0.2	-1
21	1000	1000	90	89	180	60	0	15	0.2	-1
19.7	1000	1000	90	89	180	60	0	15	0.2	-1
18.4	1000	1000	90	89	180	60	0	15	0.2	-1
17.1	1000	1000	90	89	180	60	0	15	0.2	-1
15.8	0	0	90	89	180	80	0	10	0.2	2
14.5	0	0	90	89	180	80	0	10	0.2	2
13.2	0	0	90	89	180	80	0	10	0.2	2
11.9	0	0	90	89	180	80	0	10	0.2	2
10.6	0	0	90	89	180	80	0	5	0.2	2
9.3	0	0	90	89	180	80	0	5	0.2	2
8	0	0	90	89	180	80	0	5	0.2	2
6.7	0	0	90	89	180	80	0	5	0.2	2
5.4	0	0	90	89	180	80	0	0	0.2	2
4.1	0	0	90	89	180	80	0	0	0.2	2
2.8	0	0	90	89	180	80	0	0	0.2	2
1.5	0	0	90	89	180	80	0	0	0.2	2
0.2	0	0	90	89	180	80	0	-5	0.2	2
-1.1	0	0	90	89	180	80	0	-5	0.2	2
-2.4	0	0	90	89	180	80	0	-5	0.2	2
-3.7	0	0	90	89	180	80	0	-5	0.2	2
-5	0	0	90	89	180	80	0	-5	0.2	2
